,Say,g1,g2,g3,g4,g5,timestamp
129,EE,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-11.531134605407715,1575905800.216393
130,EE,-15.633699417114258,-16.131866455078125,-16.16117286682129,-16.424907684326172,-15.076922416687012,1576079780.3184872
131,EU,-15.135531425476074,-14.578754425048828,-14.46153736114502,-16.043954849243164,-18.59340476989746,1576047561.651927
132,AA,-4.732600688934326,-4.117216110229492,-2.4761905670166016,-2.827838897705078,-0.27838829159736633,1575905400.539257
133,AR,1.0,1.0,1.0,1.0,1.0,1576046943.095082
134,AR,1.0,0.0,1.0,1.0,0.0,1576046984.651754
135,EE,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903881.6302361
136,EE,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908112.824291
137,AA,-2.769228935241699,-7.926739692687988,-4.527470588684082,-5.963369846343994,-10.739925384521484,1576050574.424629
138,OO,-12.263734817504883,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050919.4586139
139,AA,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056965.5051432
140,EE,-9.479853630065918,-7.399267196655273,-2.710622787475586,-3.5311355590820312,-6.051281929016113,1576057170.943939
141,EU,-22.754579544067383,-20.117216110229492,-15.223443031311035,-19.208789825439453,-21.172161102294922,1576078771.158433
142,AR,1.0,1.0,1.0,1.0,1.0,1576048395.342605
143,AR,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056902.934077
144,EU,-11.765567779541016,-14.725274085998535,-13.816849708557129,-13.64102554321289,-9.30402946472168,1576080541.0200272
145,OO,-17.714284896850586,-17.128204345703125,-18.710622787475586,-19.706958770751953,-20.351648330688477,1576053445.5344791
146,AR,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906029.31113
147,OO,-5.5531134605407715,-7.956042289733887,-6.989009380340576,-5.34798526763916,-8.131866455078125,1576047333.793567
148,EU,1.0,0.0,1.0,1.0,0.0,1576046987.484682
149,AA,-21.699634552001953,-19.53113555908203,-17.684982299804688,-17.157508850097656,-21.172161102294922,1576078801.612499
150,EE,-13.787546157836914,-14.725274085998535,-13.816849708557129,-13.64102554321289,-12.820512771606445,1576080511.5170841
151,EE,-18.241756439208984,-10.300365447998047,-19.384614944458008,-2.9157509803771973,-10.827837944030762,1576046500.229312
152,OO,-21.67032814025879,-24.0,-17.919414520263672,-18.44688606262207,-21.05494499206543,1575906994.6033769
153,AA,-19.97069549560547,-13.64102554321289,-11.120877265930176,-16.864469528198242,-9.567765235900879,1575903500.020461
154,EE,-7.4578752517700195,-12.322343826293945,-4.058608055114746,-13.14285659790039,-9.098898887634277,1576081681.771312
155,EE,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905271.407312
156,OO,-10.35897445678711,-10.915749549865723,-9.274723052978516,-9.94871711730957,-11.2380952835083,1576080632.159817
157,AA,-5.5531134605407715,-7.956042289733887,-6.989009380340576,-5.34798526763916,-8.131866455078125,1576047327.206147
158,AR,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908104.873046
159,EE,-22.256410598754883,-8.102563858032227,-1.4212454557418823,-10.35897445678711,-21.992673873901367,1576053636.829423
160,AR,-16.747251510620117,-7.311355113983154,0.0,-9.216116905212402,-16.190475463867188,1576055902.71848
161,EE,-7.985347747802734,1.0,1.0,-6.520146369934082,-2.007326126098633,1576054853.43069
162,AR,-11.970695495605469,-14.168498039245605,-12.967032432556152,-15.956043243408203,-13.816849708557129,1576062121.973328
163,AR,-7.4578752517700195,-12.322343826293945,-4.058608055114746,-15.633699417114258,-11.413919448852539,1576081676.119616
164,EU,-9.772892951965332,0.0,1.0,-6.520146369934082,-3.941391944885254,1576054883.210606
165,AA,-16.16117286682129,-14.549449920654297,-14.666666984558105,-16.71794891357422,-17.21611785888672,1576047574.620605
166,AA,0.0,-7.545787334442139,-1.274725317955017,-5.846151828765869,-3.443223476409912,1576048725.915769
167,AR,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903878.829815
168,AA,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081481.37081
169,EE,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081479.472083
170,EU,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056949.918922
171,EU,-11.531134605407715,-5.582415580749512,-2.9450531005859375,0.0,0.0,1575906344.096105
172,EU,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-9.94871711730957,-17.040292739868164,1576078350.625369
173,EE,-5.201465129852295,-7.135530948638916,-6.285712718963623,-3.5897436141967773,-6.021976470947266,1576047297.186428
174,EE,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052398.520505
175,OO,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056975.068258
176,EE,-4.996336936950684,-10.44688606262207,-18.153844833374023,-13.289377212524414,-13.025641441345215,1576078095.596483
177,EE,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056930.1174622
178,EU,-21.494504928588867,-18.183149337768555,-22.05128288269043,-23.72161102294922,-23.457876205444336,1575906591.279587
179,AA,-12.263734817504883,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050911.713852
180,EE,-19.47252655029297,-10.065932273864746,-10.7692289352417,-9.772892951965332,-10.241756439208984,1575905084.4028702
181,EE,-16.39560317993164,-15.75091552734375,-18.710622787475586,-19.706958770751953,-20.58608055114746,1576053333.376449
182,EE,1.0,0.0,1.0,1.0,0.0,1576046985.5019531
183,EU,-5.75823974609375,-7.135530948638916,-6.285712718963623,-4.205128192901611,-6.021976470947266,1576047308.88735
184,OO,-15.164834022521973,-10.300365447998047,-17.86080551147461,-2.9157509803771973,-17.157508850097656,1576046537.849142
185,EU,-6.256410121917725,-6.813185214996338,-5.084249019622803,-10.5054931640625,-6.227106094360352,1575907870.8133779
186,EU,-12.820512771606445,-15.223443031311035,-12.029304504394531,-8.043953895568848,-22.959707260131836,1576051521.814492
187,EU,-16.747251510620117,-7.311355113983154,0.0,-9.216116905212402,-16.190475463867188,1576055934.495071
188,AA,-20.263734817504883,-13.963370323181152,-17.802196502685547,-16.80586051940918,-18.388277053833008,1575904377.0887
189,EU,-12.7619047164917,-12.087910652160645,-13.758240699768066,-12.117216110229492,-11.384613990783691,1576079895.433969
190,AR,-22.754579544067383,-20.117216110229492,-15.223443031311035,-19.208789825439453,-18.59340476989746,1576078676.7323961
191,EU,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081480.421907
192,AA,-2.124542236328125,-2.593404769897461,0.0,-3.824173927307129,-11.882782936096191,1576046880.3715448
193,EE,-24.0,-18.183149337768555,-22.05128288269043,-23.72161102294922,-24.0,1575906575.826182
194,EU,-2.769228935241699,-7.926739692687988,-4.527470588684082,-5.963369846343994,-11.032965660095215,1576050555.437803
195,AA,-18.564102172851562,-10.300365447998047,-17.86080551147461,-2.9157509803771973,-17.157508850097656,1576046525.6158938
196,AA,-7.311355113983154,0.0,1.0,-6.520146369934082,-2.3296685218811035,1576054892.9625149
197,OO,0.0,-7.545787334442139,-1.274725317955017,-5.846151828765869,-3.443223476409912,1576048736.4456
198,EE,-15.809523582458496,-12.61538314819336,-14.490842819213867,-5.465201377868652,-10.095237731933594,1576062430.685233
199,AA,-15.45787525177002,-13.934064865112305,-14.813185691833496,-16.16117286682129,-20.967031478881836,1576052868.3359451
200,OO,-15.282051086425781,-5.904761791229248,-10.036628723144531,-5.699633598327637,-4.38095235824585,1576079412.221237
201,AA,-12.7619047164917,-12.087910652160645,-13.758240699768066,-9.216116905212402,-8.776556968688965,1576079962.574606
202,EE,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-9.94871711730957,-17.040292739868164,1576078345.5253901
203,AR,0.0,-7.545787334442139,-1.274725317955017,-5.846151828765869,-3.443223476409912,1576048684.812994
204,AA,-15.809523582458496,-12.61538314819336,-14.490842819213867,-5.465201377868652,-15.19413948059082,1576062450.721699
205,AA,-19.03296661376953,-5.904761791229248,-9.186811447143555,-4.644688606262207,-7.60439395904541,1576079381.4220119
206,AA,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908137.528938
207,AR,-12.410255432128906,-14.344322204589844,-14.813185691833496,-16.16117286682129,-18.59340476989746,1576052804.664223
208,AR,-5.904761791229248,-8.923074722290039,-10.241756439208984,-8.54212474822998,-11.179486274719238,1576080214.7668881
209,AR,1.0,1.0,1.0,-0.7765567898750305,-10.21245288848877,1576078056.345119
210,EU,-2.124542236328125,-2.593404769897461,0.0,-3.824173927307129,-11.882782936096191,1576046879.655467
211,OO,-16.33699607849121,-12.879119873046875,-16.659339904785156,-16.835163116455078,-10.710622787475586,1576077904.747967
212,AR,-7.75091552734375,-5.846151828765869,-5.054943084716797,-5.435897350311279,-4.3223443031311035,1576047270.884599
213,AA,-4.996336936950684,-12.322343826293945,-18.153844833374023,-14.578754425048828,-7.223443031311035,1576078111.380595
214,OO,-4.996336936950684,-12.322343826293945,-18.153844833374023,-14.578754425048828,-7.223443031311035,1576078118.793387
215,EU,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-7.340657711029053,1575905824.637414
216,AA,1.0,0.0,1.0,1.0,0.0,1576046987.917183
217,EE,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906046.227994
218,AA,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903897.3320231
219,EE,-7.106226921081543,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050888.827801
220,EU,-12.556777000427246,-15.985347747802734,-8.864468574523926,-21.318679809570312,-19.912086486816406,1576033800.9292789
221,AA,-12.468864440917969,-6.69597053527832,-6.197800636291504,-8.366300582885742,-13.523809432983398,1576080579.976234
222,OO,-6.256410121917725,-6.813185214996338,-5.084249019622803,-8.307690620422363,-5.611721515655518,1575907884.547929
223,AR,-4.468864440917969,-9.479853630065918,-17.245420455932617,-17.421245574951172,-11.531134605407715,1576033699.567246
224,OO,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081489.018653
225,OO,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-9.94871711730957,-17.040292739868164,1576078367.855568
226,OO,-20.02930450439453,-11.003662109375,-10.388277053833008,-20.205127716064453,-17.45054817199707,1575903545.025007
227,EU,-19.267398834228516,-17.128204345703125,-18.710622787475586,-19.706958770751953,-17.157508850097656,1576053347.7952042
228,AR,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-8.307690620422363,-17.040292739868164,1576078316.021432
229,OO,-15.45787525177002,-13.934064865112305,-14.813185691833496,-16.16117286682129,-20.967031478881836,1576052877.890874
230,OO,-22.256410598754883,-16.102563858032227,-17.655677795410156,-14.40293025970459,-16.4835147857666,1575905141.8668818
231,OO,-5.377289295196533,-9.15750789642334,-11.179486274719238,-11.267398834228516,-8.776556968688965,1576080031.32004
232,EE,-6.256410121917725,-6.813185214996338,-5.084249019622803,-10.5054931640625,-6.227106094360352,1575907866.795793
233,EU,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905276.424556
234,AA,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052419.172958
235,EE,-8.278388023376465,-18.183149337768555,-19.853479385375977,-21.318679809570312,-19.912086486816406,1576033781.593089
236,OO,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903914.592905
237,EE,-17.9780216217041,-16.102563858032227,-15.076922416687012,-17.157508850097656,-16.27838897705078,1576047541.668021
238,OO,-8.190476417541504,-7.047618865966797,-2.769228935241699,-6.959706783294678,-7.428569793701172,1576057515.2468572
239,EU,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906051.110454
240,EE,0.0,-6.930402755737305,-16.512821197509766,-20.761903762817383,-23.428569793701172,1576051951.617621
241,OO,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905288.469295
242,AA,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-7.340657711029053,1575905832.8034968
243,AR,-12.380952835083008,-8.600732803344727,-10.681317329406738,-10.241756439208984,-10.153844833374023,1576051267.670372
244,AA,-3.6776556968688965,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904910.76577
245,AA,-7.252745628356934,-8.073260307312012,-9.098898887634277,-7.575091361999512,-19.912086486816406,1576027140.9065452
246,AR,0.0,-18.153844833374023,-19.062271118164062,-8.776556968688965,-16.659339904785156,1576026641.8388438
247,AR,-15.780219078063965,-20.61538314819336,-7.076921463012695,-15.164834022521973,-8.131866455078125,1576026855.039037
248,EE,-1.3919414281845093,-20.61538314819336,-7.076921463012695,-15.164834022521973,-17.597068786621094,1576026884.7592502
249,EU,-1.3919414281845093,-20.61538314819336,-7.076921463012695,-15.164834022521973,-17.597068786621094,1576026884.960157
250,EE,0.0,-18.153844833374023,-19.062271118164062,-8.776556968688965,-16.659339904785156,1576026643.248666
251,EU,-7.252745628356934,-8.073260307312012,-9.098898887634277,-7.575091361999512,-5.670327663421631,1576027127.57225
252,AR,-8.336996078491211,-6.080585956573486,-9.831501960754395,-7.575091361999512,-9.333332061767578,1576027062.514165
253,OO,-7.252745628356934,-8.424908638000488,-9.098898887634277,-7.487179279327393,-12.322343826293945,1576027168.966157
254,OO,-9.15750789642334,-18.153844833374023,-19.062271118164062,-8.776556968688965,-13.230768203735352,1576026658.736741
255,OO,-1.3919414281845093,-20.61538314819336,-7.076921463012695,-15.164834022521973,-17.597068786621094,1576026887.652543
256,AA,-9.15750789642334,-18.153844833374023,-19.062271118164062,-8.776556968688965,-13.230768203735352,1576026656.8002229
257,AA,-1.3919414281845093,-20.61538314819336,-7.076921463012695,-15.164834022521973,-17.597068786621094,1576026885.161289
258,EE,-7.252745628356934,-8.073260307312012,-9.098898887634277,-7.575091361999512,-5.670327663421631,1576027112.453552
259,EU,0.0,-18.153844833374023,-19.062271118164062,-8.776556968688965,-13.230768203735352,1576026651.848621
